Filename,speaker,gender,passage,trial,word,frequency,phoneme,duration,f0_midpoint,F1_midpoint,F2_midpoint,,,,health,high
STE-365_2_2,2,F,2,2,lasses,low,{,0.098067486,175.4148261,422.0495347,2460.356524,,,,,
STE-365_2_2,2,F,2,2,stategy,high,{,0.109113549,270.576623,675.8459801,2123.549626,,,,,
STE-365_2_2,2,F,2,2,chamfer,low,{,0.07597536,249.2153852,326.5433806,2021.049576,,,,,
STE-365_2_2,2,F,2,2,enmeshing,low,E,0.133091588,218.6588601,543.3237539,2459.77076,,,,,
STE-365_2_2,2,F,2,2,after,high,{,0.062504551,286.2322853,651.34028,1946.605682,,,,,
STE-365_2_2,2,F,2,2,checked,high,E,0.095623027,248.7519074,960.8929258,2042.080012,,,,,
STE-365_2_2,2,F,2,2,somitazation,low,eI,0.11489833,255.9971313,474.0214252,2542.177161,,,,,
STE-365_2_2,2,F,2,2,natural,high,{,0.136806464,199.1310794,409.0105219,1227.47188,,,,,
STE-365_2_2,2,F,2,2,antedating,low,eI,0.121241657,253.1240217,468.3507175,2204.84812,,,,,
STE-365_2_2,2,F,2,2,prevented,high,E,0.093388844,232.063105,714.6200044,2239.852724,,,,,
STE-365_2_2,2,F,2,2,scathingly,low,eI,0.101580848,276.1687948,725.6184164,1910.829805,,,,,
STE-365_2_2,2,F,2,2,states,high,eI,0.189235289,216.4700077,416.1451076,2561.44762,,,,,
STE-365_2_2,2,F,2,2,traipsed,low,eI,0.066355231,215.4035515,662.5363663,1753.741302,,,,,
STE-366_1_1,3,F,1,1,health,high,E,0.176647007,247.8665926,928.9094387,1399.152023,,,,,
STE-366_1_1,3,F,1,1,sectary,low,E,0.116345762,247.5657615,826.2301989,2125.854472,,,,,
STE-366_1_1,3,F,1,1,cases,high,eI,0.172281224,--undefined--,438.0244288,2217.362472,,,,,
STE-366_1_1,3,F,1,1,demarcations,low,eI,0.187827613,232.3030562,481.2678437,2543.823737,,,,,
STE-366_1_1,3,F,1,1,unless,high,E,0.169291993,251.8135736,788.660778,1911.182543,,,,,
STE-366_1_1,3,F,1,1,collimated,low,eI,0.155699205,--undefined--,551.0591043,2685.539884,,,,,
STE-366_1_1,3,F,1,1,relegated,low,eI,0.151992081,--undefined--,488.7913314,2509.81747,,,,,
STE-366_1_1,3,F,1,1,interface,high,eI,0.194006153,91.01505867,516.6134458,2474.194058,,,,,
STE-366_1_1,3,F,1,1,claimed,high,eI,0.142106417,201.2681476,619.078589,2399.365678,,,,,
STE-366_1_1,3,F,1,1,terracottas,low,E,0.063021107,229.2349795,652.4790668,1753.909533,,,,,
STE-366_1_1,3,F,1,1,traded,high,eI,0.106270886,218.2544362,480.070234,2321.465306,,,,,
STE-366_1_1,3,F,1,1,alginate,low,{,0.096385222,212.2765741,800.3755991,1482.92337,,,,,
STE-366_1_1,3,F,1,1,crackpot,low,{,0.102563762,209.64604,757.3257319,1829.762503,,,,,
STE-366_1_1,3,F,1,1,as,high,{,0.24467018,199.546158,687.3594981,2149.869825,,,,,
STE-366_1_1,3,F,1,1,example,high,{,0.113685134,196.5397017,724.3669002,1911.536474,,,,,
STE-366_1_1,3,F,1,1,embittering,low,E,0.076613895,239.2310143,510.8021299,2199.814931,,,,,
STE-366_1_1,3,F,1,1,effect,high,E,0.177893494,208.0324585,792.2194518,1979.522509,,,,,
STE-366_1_1,3,F,1,1,tax,high,{,0.103157174,216.4615625,800.9548425,1836.407546,,,,,
STE-366_1_2,3,F,1,2,health,high,E,0.114443766,232.5123603,926.7273424,1583.055185,,,,,
STE-366_1_2,3,F,1,2,peppy,low,E,0.110524459,266.7450517,845.8779699,1856.715072,,,,,
STE-366_1_2,3,F,1,2,sectary,low,E,0.095631092,225.2309877,761.8488552,1839.713191,,,,,
STE-366_1_2,3,F,1,2,cases,high,eI,0.130904856,--undefined--,412.1298161,2399.662103,,,,,
STE-366_1_2,3,F,1,2,demarcations,low,eI,0.228887532,230.8327713,483.0882114,2380.412933,,,,,
STE-366_1_2,3,F,1,2,unless,high,E,0.208507136,252.5346442,742.9380667,1390.023382,,,,,
STE-366_1_2,3,F,1,2,collimated,low,eI,0.161475451,114.043125,570.0820806,2602.010187,,,,,
STE-366_1_2,3,F,1,2,relegated,low,E,0.040118267,207.2542477,618.5595613,1697.211159,,,,,
STE-366_1_2,3,F,1,2,interface,high,eI,0.187223054,128.1340145,493.4186719,2314.912879,,,,,
STE-366_1_2,3,F,1,2,claimed,high,eI,0.171083136,228.7682391,701.4679185,2294.881868,,,,,
STE-366_1_2,3,F,1,2,terracottas,low,E,0.083927576,231.6647817,701.5769959,1726.46992,,,,,
STE-366_1_2,3,F,1,2,traded,high,eI,0.145259266,210.8702815,554.0445736,2062.076725,,,,,
STE-366_1_2,3,F,1,2,alginate,low,{,0.081270343,--undefined--,792.1991954,1812.448183,,,,,
STE-366_1_2,3,F,1,2,crackpot,low,{,0.085479577,220.6250318,727.1518196,1786.693025,,,,,
STE-366_1_2,3,F,1,2,as,high,{,0.200164676,--undefined--,802.2678835,1873.840898,,,,,
STE-366_1_2,3,F,1,2,example,high,{,0.089753556,--undefined--,769.3021695,1848.694454,,,,,
